Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
Returning Visitor,icrs.visitus-inc.com / referral,DE,desktop,16,18,59,0,0
Returning Visitor,inside.iberostar / (not set),CA,tablet,16,19,66,0,0
Returning Visitor,mywedding.com / referral,US,desktop,16,20,54,0,0
Returning Visitor,tripadvisor / cpc,GB,mobile,16,21,78,0,0
Returning Visitor,tripadvisor / cpc,RU,mobile,16,31,132,0,0
Returning Visitor,trivago.fr / referral,CH,desktop,16,26,73,0,0
New Visitor,(direct) / (none),AD,desktop,15,15,31,0,0
New Visitor,(direct) / (none),AD,mobile,15,15,52,0,0
New Visitor,(direct) / (none),AO,desktop,15,15,29,0,0
New Visitor,(direct) / (none),CN,mobile,15,15,23,0,0
New Visitor,(direct) / (none),EE,mobile,15,15,57,0,0
New Visitor,(direct) / (none),IL,tablet,15,15,43,0,0
New Visitor,(direct) / (none),KR,mobile,15,15,89,0,0
New Visitor,(direct) / (none),MK,desktop,15,15,22,0,0
New Visitor,(direct) / (none),NZ,mobile,15,15,72,0,0
New Visitor,(direct) / (none),PK,desktop,15,15,14,0,0
New Visitor,(direct) / (none),PY,tablet,15,15,44,0,0
New Visitor,abtour.com.uy / referral,UY,desktop,15,15,46,0,0
New Visitor,avg / organic,US,desktop,15,15,87,0,0
New Visitor,bing / organic,CU,desktop,15,15,43,0,0
New Visitor,bing / organic,PT,tablet,15,15,39,0,0
New Visitor,boavistaofficial.com / referral,IT,mobile,15,16,81,0,0
New Visitor,cdn.viglink.com / referral,CA,desktop,15,15,41,0,0
New Visitor,cnn.com / referral,US,desktop,15,14,50,0,0
New Visitor,db-reisemarkt.de / referral,DE,desktop,15,15,47,0,0
New Visitor,dbm / cpm,ES,desktop,15,15,25,0,0
New Visitor,dbm / cpm,FR,tablet,15,15,19,0,0
New Visitor,en.iberostarfuerteventurapalace.com / referral,GB,tablet,15,16,30,0,0
New Visitor,en.iberostarplayagaviotaspark.com / referral,GB,tablet,15,15,68,0,0
New Visitor,foxnews.com / referral,US,desktop,15,15,67,0,0
New Visitor,google / cpc,AT,mobile,15,15,236,0,0
New Visitor,google / cpc,BG,desktop,15,15,46,0,0
New Visitor,google / cpc,JE,desktop,15,15,70,0,0
New Visitor,google / organic,BZ,desktop,15,15,27,0,0
New Visitor,google / organic,GF,desktop,15,15,21,0,0
New Visitor,google / organic,GI,mobile,15,15,121,0,0
New Visitor,google / organic,KY,mobile,15,15,176,0,0
New Visitor,google / organic,RS,tablet,15,15,46,0,0
New Visitor,google / organic,VN,desktop,15,15,27,0,0
New Visitor,Holidaycheck / referral,DE,mobile,15,15,36,0,0
New Visitor,hoteldelasletras.com / referral,PT,desktop,15,15,28,0,0
New Visitor,hoteliernews.com.br / referral,BR,desktop,15,15,39,0,0
New Visitor,iberostarfuerteventurapalace.com / referral,DE,tablet,15,15,24,0,0
New Visitor,iberostarplayagaviotas.com / referral,ES,mobile,15,15,22,0,0
New Visitor,iberostate.com / referral,BR,desktop,15,15,65,0,0
New Visitor,jeka.ro / referral,RO,desktop,15,15,32,0,0
New Visitor,l.facebook.com / referral,CA,mobile,15,15,39,0,0
New Visitor,l.facebook.com / referral,ES,mobile,15,15,33,0,0
New Visitor,livio.com / referral,DO,desktop,15,15,38,0,0
New Visitor,mallorca-wetter.org / referral,DE,tablet,15,15,24,0,0
New Visitor,searchlock.com / referral,CA,desktop,15,15,51,0,0
New Visitor,travelweek.ca / referral,CA,mobile,15,15,147,0,0
New Visitor,TripAdvisor / referral,MX,mobile,15,15,38,0,0
New Visitor,TripAdvisor / referral,PT,desktop,15,16,45,0,0
New Visitor,viajespurasvidas.com / referral,AR,mobile,15,15,45,0,0
New Visitor,yahoo / organic,PR,desktop,15,15,54,0,0
Returning Visitor,(direct) / (none),FI,mobile,15,22,115,0,0
Returning Visitor,(direct) / (none),GT,mobile,15,17,33,0,0
Returning Visitor,(direct) / (none),LT,mobile,15,41,75,0,0
Returning Visitor,abreu.pt / referral,PT,desktop,15,17,62,0,0
Returning Visitor,actiecode.nl / referral,BE,desktop,15,38,304,0,0
Returning Visitor,api.trivago.com / referral,ES,mobile,15,27,34,0,0
Returning Visitor,api.trivago.com / referral,GB,mobile,15,18,24,0,0
Returning Visitor,AutoNewsRegistro / email,FR,desktop,15,22,101,1,363.2
Returning Visitor,bing / organic,SE,desktop,15,26,124,1,2043.36
Returning Visitor,clkuk.tradedoubler.com / referral,GB,tablet,15,32,164,0,0
Returning Visitor,colectivosvip.com / referral,ES,tablet,15,36,243,0,0
Returning Visitor,csemmaster.com / referral,ES,mobile,15,21,200,0,0
Returning Visitor,dbm / cpm,GB,mobile,15,18,24,0,0
Returning Visitor,email / email,US,desktop,15,28,109,0,0
Returning Visitor,email / email,US,mobile,15,19,98,0,0
Returning Visitor,experience.usatoday.com / referral,US,desktop,15,19,105,0,0
Returning Visitor,facebook.com / referral,BE,desktop,15,26,89,0,0
Returning Visitor,google / (not set),BE,desktop,15,16,46,0,0
Returning Visitor,google / cpc,CA,tablet,15,21,108,0,0
Returning Visitor,google / cpc,SK,desktop,15,32,200,1,0
Returning Visitor,google / organic,BG,mobile,15,37,202,0,0
Returning Visitor,google / organic,IL,mobile,15,26,131,0,0
Returning Visitor,google / organic,LV,tablet,15,25,271,0,0
Returning Visitor,google / organic,PH,desktop,15,20,38,0,0
Returning Visitor,iberostarplayagaviotas.com / referral,ES,desktop,15,24,57,1,1591.92
Returning Visitor,iberostartheclub.com / referral,CA,tablet,15,29,119,0,0
Returning Visitor,islands.com / referral,US,mobile,15,19,50,0,0
Returning Visitor,m.budgettravel.com / referral,US,mobile,15,26,110,0,0
Returning Visitor,newsletter_ AM0078_30 / emailEN,US,mobile,15,21,53,0,0
Returning Visitor,newsletterBlack / email,CA,mobile,15,19,69,0,0
Returning Visitor,olehotels.com / referral,US,desktop,15,16,38,0,0
Returning Visitor,rainbowtours.pl / referral,PL,desktop,15,18,84,0,0
Returning Visitor,rrhhmallorca.blogspot.com.es / referral,ES,desktop,15,47,98,0,0
Returning Visitor,turisclub.cl / referral,CL,desktop,15,21,50,0,0
Returning Visitor,viajarbarato.com.br / referral,BR,desktop,15,17,24,0,0
Returning Visitor,yahoo / organic,CL,desktop,15,23,136,0,0
Returning Visitor,yahoo / organic,DO,tablet,15,32,109,0,0
Returning Visitor,YahooES / display,ES,desktop,15,65,162,0,0
New Visitor,(direct) / (none),BS,mobile,14,14,116,0,0
New Visitor,(direct) / (none),DZ,tablet,14,14,55,0,0
New Visitor,(direct) / (none),LB,desktop,14,14,20,0,0
New Visitor,(direct) / (none),QA,desktop,14,14,31,0,0
New Visitor,(direct) / (none),SV,desktop,14,14,40,0,0
New Visitor,(direct) / (none),TT,mobile,14,14,94,0,0
New Visitor,altitudeplus.corporateperks.com / referral,GB,desktop,14,14,33,0,0
New Visitor,banstur.com.br / referral,BR,desktop,14,14,41,0,0
New Visitor,bing / organic,AR,mobile,14,14,73,0,0
New Visitor,bing / organic,JM,mobile,14,14,65,0,0
New Visitor,bing.com / referral,CA,desktop,14,14,34,0,0
New Visitor,br.yhs4.search.yahoo.com / referral,BR,desktop,14,14,49,0,0
New Visitor,bridalguide.com / referral,US,mobile,14,14,159,0,0
New Visitor,dbm / cpm,CA,mobile,14,14,15,0,0
New Visitor,dfa / cpc,BR,desktop,14,14,38,0,0
New Visitor,dfa / cpc,GG,tablet,14,14,16,0,0
New Visitor,dfa / cpc,RO,mobile,14,14,17,0,0
New Visitor,dfa / cpm,AR,mobile,14,14,32,0,0
New Visitor,dfa / cpm,CL,desktop,14,14,23,0,0
New Visitor,donalgleeson.com / referral,IE,desktop,14,14,32,0,0
New Visitor,dresseldivers.com / referral,AT,desktop,14,14,35,0,0
New Visitor,dsps / display,MX,mobile,14,14,46,0,0
New Visitor,email / email,CZ,desktop,14,14,21,0,0
New Visitor,email / email,FI,desktop,14,14,32,0,0
New Visitor,email / email,IS,desktop,14,14,29,0,0
New Visitor,Facebook / Promoted-Post,GB,mobile,14,14,18,0,0
New Visitor,facebook / textlink,ES,desktop,14,14,29,0,0
New Visitor,google / cpc,LI,desktop,14,14,50,0,0
New Visitor,google / cpc,MC,desktop,14,14,50,0,0
New Visitor,google / organic,BG,tablet,14,14,39,0,0
New Visitor,google / organic,CW,desktop,14,14,32,0,0
New Visitor,google / organic,GY,desktop,14,14,35,0,0
New Visitor,google / organic,IQ,desktop,14,14,30,0,0
New Visitor,google / organic,KE,desktop,14,14,30,0,0
New Visitor,google / organic,KW,desktop,14,14,26,0,0
New Visitor,google / organic,LK,desktop,14,14,32,0,0
New Visitor,grandhotelmencey.com / referral,DE,tablet,14,14,16,0,0
New Visitor,grandhotelmirador.com / referral,BE,desktop,14,14,17,0,0
New Visitor,hoteldelasletras.com / referral,US,tablet,14,14,15,0,0
New Visitor,int.search.tb.ask.com / referral,ES,desktop,14,14,26,0,0
New Visitor,jaimonvoyage.com / referral,CA,mobile,14,14,75,0,0
New Visitor,kawamaviaggi.com / referral,IT,desktop,14,14,38,0,0
New Visitor,lm.facebook.com / referral,CA,mobile,14,14,26,0,0
New Visitor,m.facebook.com / referral,SE,mobile,14,14,27,0,0
New Visitor,meteosurfcanarias.com / referral,IT,desktop,14,14,14,0,0
New Visitor,meteosurfcanarias.com / referral,PL,desktop,14,14,20,0,0
New Visitor,newsletter / email,ES,desktop,14,14,51,0,0
New Visitor,newsletterDec / email,US,mobile,14,14,78,0,0
New Visitor,notify.bluecoat.com / referral,DE,desktop,14,14,52,0,0
New Visitor,rotamitica.airmet.pt / referral,PT,desktop,14,14,21,0,0
New Visitor,s0.2mdn.net / referral,DE,desktop,14,14,25,0,0
New Visitor,starserviceonline.com / referral,US,desktop,14,14,82,0,0
New Visitor,travelbestbets.com / referral,CA,mobile,14,14,79,0,0
New Visitor,TripAdvisor / referral,BE,mobile,14,14,16,0,0
New Visitor,TripAdvisor / referral,BR,desktop,14,14,32,0,0
New Visitor,TripAdvisor / referral,NL,tablet,14,14,34,0,0
New Visitor,tripadvisor.com / referral,GB,mobile,14,14,101,0,0
New Visitor,tripadvisortraveldeals.com / referral,US,desktop,14,15,31,0,0
New Visitor,trivago.de / referral,CH,desktop,14,14,26,0,0
New Visitor,trivago.fr / referral,CH,desktop,14,14,22,0,0
New Visitor,trivago.fr / referral,TN,desktop,14,14,24,0,0
Returning Visitor,(direct) / (none),AU,desktop,14,17,27,0,0
Returning Visitor,(direct) / (none),CZ,tablet,14,18,36,0,0
Returning Visitor,(direct) / (none),TN,desktop,14,21,53,0,0
Returning Visitor,(direct) / (none),UA,tablet,14,17,42,0,0
Returning Visitor,172.17.0.2:9997 / referral,US,mobile,14,24,43,0,0
Returning Visitor,abtour.com.uy / referral,UY,desktop,14,17,33,0,0
Returning Visitor,ask / organic,BR,desktop,14,16,58,0,0
Returning Visitor,bing / organic,BR,mobile,14,19,87,0,0
Returning Visitor,bing / organic,LU,desktop,14,21,65,0,0
Returning Visitor,dfa / cpm,CH,mobile,14,22,56,0,0
Returning Visitor,dfa / cpm,MX,tablet,14,20,34,0,0
Returning Visitor,foxydeal.com.br / referral,BR,desktop,14,15,67,0,0
Returning Visitor,google / (not set),ES,desktop,14,14,40,0,0
Returning Visitor,google / cpc,AT,tablet,14,24,200,0,0
Returning Visitor,google / cpc,BE,tablet,14,17,54,0,0
Returning Visitor,google / organic,AD,desktop,14,29,117,0,0
Returning Visitor,google / organic,CR,mobile,14,19,80,0,0
Returning Visitor,google / organic,CV,mobile,14,21,171,0,0
Returning Visitor,google / organic,SV,desktop,14,15,54,0,0
Returning Visitor,google / organic,VE,tablet,14,24,148,0,0
Returning Visitor,google / organic,ZA,desktop,14,22,58,0,0
Returning Visitor,hoteldelasletras.com / referral,ES,mobile,14,21,31,0,0
Returning Visitor,insidertravel.nl / referral,NL,mobile,14,20,171,0,0
Returning Visitor,int.search.tb.ask.com / referral,CA,desktop,14,20,74,0,0
Returning Visitor,l.facebook.com / referral,US,mobile,14,21,127,0,0
Returning Visitor,linkedin.com / referral,ES,desktop,14,21,54,0,0
Returning Visitor,mallorca-fotobox.de / referral,DE,tablet,14,23,35,0,0
Returning Visitor,mallorca-wetter.org / referral,DE,desktop,14,15,29,0,0
Returning Visitor,msn / organic,US,desktop,14,15,53,0,0
Returning Visitor,newsletterfeb / email,MX,tablet,14,14,49,0,0
Returning Visitor,NewsletterUSA / email,US,mobile,14,19,113,0,0
Returning Visitor,rambler / organic,RU,desktop,14,27,169,0,0
Returning Visitor,s0.2mdn.net / referral,DE,desktop,14,15,48,0,0
Returning Visitor,s0.2mdn.net / referral,GB,desktop,14,17,37,0,0
Returning Visitor,searchlock.com / referral,US,desktop,14,18,69,0,0
Returning Visitor,shareasale.com / referral,US,tablet,14,24,75,0,0
Returning Visitor,sparwelt.de / referral,DE,mobile,14,20,139,0,0
Returning Visitor,tripadvisor / cpc,DE,mobile,14,18,80,0,0
Returning Visitor,TripAdvisor / referral,DE,tablet,14,18,29,0,0
Returning Visitor,TripAdvisor / referral,SE,desktop,14,27,118,0,0
Returning Visitor,trivago.se / referral,SE,mobile,14,26,63,1,845.5
Returning Visitor,zonaturistica.com / referral,MX,tablet,14,16,80,0,0
New Visitor,(direct) / (none),EE,tablet,13,13,72,0,0
New Visitor,(direct) / (none),GI,mobile,13,13,40,0,0
New Visitor,(direct) / (none),JE,mobile,13,13,29,0,0
New Visitor,(direct) / (none),MD,desktop,13,13,28,0,0
New Visitor,(direct) / (none),MT,desktop,13,13,26,0,0
New Visitor,(direct) / (none),TW,desktop,13,13,37,0,0
New Visitor,amfostacolo.ro / referral,RO,desktop,13,13,32,0,0
New Visitor,appycouple.com / referral,US,desktop,13,13,51,0,0
New Visitor,avg / organic,CA,desktop,13,13,60,0,0
New Visitor,avg / organic,GB,desktop,13,13,40,0,0
New Visitor,bing / organic,DO,mobile,13,13,98,0,0
New Visitor,bing / organic,IE,tablet,13,13,50,0,0
New Visitor,bing / organic,JM,tablet,13,13,56,0,0
New Visitor,clubgolfnovosanctipetri.com / referral,DE,desktop,13,13,58,0,0
New Visitor,dfa / cpc,DK,mobile,13,13,33,0,0
New Visitor,dfa / cpc,DZ,tablet,13,13,21,0,0
New Visitor,dfa / cpm,AU,desktop,13,13,24,0,0
New Visitor,dfa / cpm,UA,desktop,13,13,22,0,0
New Visitor,dresseldivers.com / referral,BE,desktop,13,13,40,0,0
New Visitor,dresseldivers.com / referral,GB,desktop,13,13,24,0,0
New Visitor,email / email,AR,desktop,13,13,46,0,0
New Visitor,google / organic,AW,mobile,13,13,41,0,0
New Visitor,google / organic,EC,tablet,13,13,67,0,0
New Visitor,google / organic,MD,tablet,13,13,23,0,0
New Visitor,google / organic,NG,desktop,13,13,25,1,1692
New Visitor,google / organic,SI,tablet,13,13,51,0,0
New Visitor,google / organic,YE,mobile,13,13,18,0,0
New Visitor,grandhotelmencey.com / referral,FR,desktop,13,13,27,1,455
New Visitor,grandhotelmirador.com / referral,ES,mobile,13,13,12,0,0
New Visitor,grandhotelmirador.com / referral,FR,desktop,13,13,16,0,0
New Visitor,grandhotelmirador.com / referral,GB,tablet,13,13,20,0,0
New Visitor,guiaviajarmelhor.com / referral,BR,desktop,13,13,46,0,0
New Visitor,hoteldelasletras.com / referral,GB,mobile,13,13,16,0,0
New Visitor,iberostartheclub.com / referral,GB,desktop,13,14,64,0,0
New Visitor,imaginetravel.tur.ar / referral,AR,desktop,13,13,26,0,0
New Visitor,insidertravelpep.com / referral,DE,tablet,13,13,101,0,0
New Visitor,interra.ro / referral,RO,desktop,13,13,29,0,0
New Visitor,it.search.yahoo.com / referral,IT,desktop,13,13,51,0,0
New Visitor,jetlagandmayhem.com / referral,GB,tablet,13,13,37,0,0
New Visitor,kayak.com / referral,US,tablet,13,13,45,0,0
New Visitor,l.facebook.com / referral,ES,desktop,13,13,29,0,0
New Visitor,lebeachclub.com / referral,US,mobile,13,13,62,0,0
New Visitor,lonelyplanet.com / referral,GB,tablet,13,13,120,0,0
New Visitor,m.facebook.com / referral,FR,tablet,13,13,35,0,0
New Visitor,mail.aol.com / referral,US,desktop,13,13,54,0,0
New Visitor,oceanworld.net / referral,US,mobile,13,13,61,0,0
New Visitor,paks.ru / referral,RU,desktop,13,13,39,0,0
New Visitor,poczta.onet.pl / referral,PL,desktop,13,13,25,0,0
New Visitor,poczta.wp.pl / referral,PL,desktop,13,13,27,0,0
New Visitor,r.duckduckgo.com / referral,DE,desktop,13,13,28,0,0
New Visitor,search.xfinity.com / referral,US,mobile,13,13,90,0,0
New Visitor,top1-seo-service.com / referral,BR,desktop,13,13,13,0,0
New Visitor,tophotels.ru / referral,RU,tablet,13,13,79,0,0
New Visitor,tripadvisor / cpc,PT,mobile,13,14,31,0,0
New Visitor,TripAdvisor / referral,CZ,desktop,13,13,40,0,0
New Visitor,TripAdvisor / referral,NL,mobile,13,13,22,0,0
New Visitor,TripAdvisor / referral,RO,desktop,13,13,26,0,0
New Visitor,trivago.de / referral,ES,mobile,13,13,19,1,86.11
New Visitor,vodafone.de.searchturbo.com / referral,DE,mobile,13,13,77,0,0
New Visitor,webcams-lanzarote.com / referral,GB,tablet,13,13,22,0,0
New Visitor,webtenerife.ru / referral,RU,mobile,13,13,25,0,0
New Visitor,yahoo / organic,CO,desktop,13,13,44,0,0
New Visitor,yahoo / organic,IE,desktop,13,13,35,0,0
New Visitor,YahooDE / display,US,mobile,13,13,13,0,0
New Visitor,zoomnews.es / referral,ES,desktop,13,13,41,0,0
Returning Visitor,(direct) / (none),CO,tablet,13,18,43,0,0
Returning Visitor,(direct) / (none),GR,mobile,13,21,288,0,0
Returning Visitor,(direct) / (none),PY,desktop,13,20,65,0,0
Returning Visitor,(direct) / (none),SK,tablet,13,16,54,0,0
Returning Visitor,(direct) / (none),VE,desktop,13,14,52,0,0
Returning Visitor,abc.es / referral,ES,mobile,13,15,53,0,0
Returning Visitor,action.metaffiliation.com / referral,RU,tablet,13,31,137,0,0
Returning Visitor,agencia-viajes-lima.com / referral,PE,desktop,13,19,61,0,0
Returning Visitor,ask / organic,AR,desktop,13,15,98,0,0
Returning Visitor,bing / organic,CH,tablet,13,25,94,0,0
Returning Visitor,bing / organic,DK,desktop,13,25,161,0,0
Returning Visitor,de.search.yahoo.com / referral,DE,desktop,13,34,148,0,0
Returning Visitor,dfa / cpm,CH,tablet,13,25,35,0,0
Returning Visitor,dfa / cpm,DO,mobile,13,23,51,0,0
Returning Visitor,elrastrillodemama.com / referral,ES,mobile,13,24,108,0,0
Returning Visitor,email / email,IT,tablet,13,15,76,0,0
Returning Visitor,email / email,LU,desktop,13,19,78,0,0
Returning Visitor,essemundoenosso.com.br / referral,BR,desktop,13,15,60,0,0
Returning Visitor,google / cpc,EE,desktop,13,19,50,0,0
Returning Visitor,google / organic,AD,mobile,13,31,117,0,0
Returning Visitor,google / organic,IS,mobile,13,26,158,0,0
Returning Visitor,google / organic,KR,desktop,13,21,73,0,0
Returning Visitor,google / organic,RS,mobile,13,19,80,0,0
Returning Visitor,google / organic,TW,desktop,13,39,229,0,0
Returning Visitor,hoteldelasletras.com / referral,GB,desktop,13,23,40,1,692.55
Returning Visitor,iberostar.epreselec.com / referral,ES,mobile,13,16,73,0,0
Returning Visitor,iberostarpoints.com / referral,BE,desktop,13,19,106,0,0
Returning Visitor,iberostartheclub.com / referral,DO,tablet,13,29,122,0,0
Returning Visitor,m.facebook.com / referral,CA,tablet,13,15,29,0,0
Returning Visitor,meteosurfcanarias.com / referral,DE,tablet,13,15,39,0,0
Returning Visitor,meteosurfcanarias.com / referral,ES,desktop,13,14,25,0,0
Returning Visitor,newage.tur.br / referral,BR,desktop,13,18,37,0,0
Returning Visitor,olehotels.com / referral,DK,desktop,13,15,41,0,0
Returning Visitor,plustravel.com.uy / referral,UY,desktop,13,17,66,0,0
Returning Visitor,sparwelt.de / referral,DE,tablet,13,33,109,0,0
Returning Visitor,travelweek.ca / referral,CA,desktop,13,13,47,0,0
Returning Visitor,tripadvisor / cpc,IE,desktop,13,17,48,0,0
Returning Visitor,TripAdvisor / referral,DK,desktop,13,27,103,1,1878.6
Returning Visitor,TripAdvisor / referral,NO,desktop,13,18,83,0,0
Returning Visitor,view.s4.exacttarget.com / referral,US,desktop,13,14,55,0,0
Returning Visitor,yabs.yandex.ru / referral,RU,mobile,13,25,320,0,0
New Visitor,(direct) / (none),AE,tablet,12,12,64,0,0
New Visitor,(direct) / (none),AL,mobile,12,12,29,0,0
New Visitor,(direct) / (none),BM,desktop,12,12,34,0,0
New Visitor,(direct) / (none),GI,tablet,12,12,33,1,90
New Visitor,(direct) / (none),GR,tablet,12,12,31,0,0
New Visitor,(direct) / (none),HK,mobile,12,12,68,0,0
New Visitor,(direct) / (none),KZ,mobile,12,12,82,0,0
New Visitor,(direct) / (none),TR,tablet,12,12,25,0,0
New Visitor,aftonbladet.se / referral,SE,desktop,12,12,38,0,0
New Visitor,aftonbladet.se / referral,SE,mobile,12,12,34,0,0
New Visitor,api.trivago.com / referral,PT,mobile,12,12,17,0,0
New Visitor,ask / organic,MX,desktop,12,12,27,0,0
New Visitor,bing / organic,AR,tablet,12,12,34,0,0
New Visitor,bing / organic,BE,tablet,12,12,96,0,0
New Visitor,bing / organic,EE,desktop,12,12,42,0,0
New Visitor,bing.com / referral,DE,desktop,12,12,36,0,0
New Visitor,busca.uol.com.br / referral,BR,desktop,12,12,57,0,0
New Visitor,casamentonapraia.net.br / referral,BR,desktop,12,12,33,0,0
New Visitor,CJ / afiliacion,DE,desktop,12,12,14,0,0
New Visitor,cuba4travel.com / referral,DE,tablet,12,12,47,0,0
New Visitor,dfa / cpc,LU,desktop,12,12,40,0,0
New Visitor,dfa / cpc,NL,desktop,12,12,43,0,0
New Visitor,dfa / cpm,BE,tablet,12,12,13,0,0
New Visitor,dresseldivers.com / referral,CA,mobile,12,12,28,0,0
New Visitor,dsps / display,BR,mobile,12,12,26,0,0
New Visitor,elmundo.es / referral,ES,mobile,12,12,65,0,0
New Visitor,email / email,LT,desktop,12,12,37,0,0
New Visitor,Facebook / banner,ES,desktop,12,12,27,0,0
New Visitor,facebook.com / referral,NL,desktop,12,12,15,0,0
New Visitor,facebook.com / referral,NO,desktop,12,12,27,0,0
New Visitor,facebook.com / referral,TN,desktop,12,12,32,0,0
New Visitor,famtravelforme.com / referral,US,mobile,12,12,111,0,0
New Visitor,google / cpc,AL,desktop,12,12,27,0,0
New Visitor,google / cpc,GG,desktop,12,12,34,0,0
New Visitor,google / cpc,KZ,desktop,12,12,37,0,0
New Visitor,google / organic,BA,mobile,12,12,57,0,0
New Visitor,google / organic,GG,mobile,12,12,64,0,0
New Visitor,google / organic,GI,tablet,12,12,93,0,0
New Visitor,google / organic,IR,mobile,12,13,33,0,0
New Visitor,google / organic,LT,tablet,12,12,67,0,0
New Visitor,google / organic,NI,mobile,12,13,78,0,0
New Visitor,grandhotelmencey.com / referral,IT,desktop,12,12,12,0,0
New Visitor,grandhotelmencey.com / referral,SE,desktop,12,12,14,0,0
New Visitor,holiday-weather.com / referral,US,mobile,12,12,21,0,0
New Visitor,hoteldelasletras.com / referral,GB,tablet,12,12,28,0,0
New Visitor,hoteldelasletras.com / referral,NL,desktop,12,12,14,0,0
New Visitor,iberostarfuerteventurapalace.com / referral,DE,mobile,12,12,68,0,0
New Visitor,iberostartheclub.com / referral,CL,tablet,12,12,121,0,0
New Visitor,int.search.tb.ask.com / referral,AR,desktop,12,12,59,0,0
New Visitor,islacanela.es / referral,ES,desktop,12,12,27,0,0
New Visitor,islands.com / referral,CA,mobile,12,12,129,0,0
New Visitor,it.iberostarfuerteventurapalace.com / referral,IT,desktop,12,12,18,0,0
New Visitor,jetlagandmayhem.com / referral,GB,desktop,12,12,33,0,0
New Visitor,kenzantours.se / referral,SE,tablet,12,12,33,0,0
New Visitor,l.facebook.com / referral,CA,tablet,12,12,42,0,0
New Visitor,lonelyplanet.com / referral,AU,desktop,12,12,14,0,0
New Visitor,m.facebook.com / referral,AT,mobile,12,12,22,0,0
New Visitor,m.vk.com / referral,RU,mobile,12,12,26,0,0
New Visitor,meteosurfcanarias.com / referral,BE,tablet,12,12,18,0,0
New Visitor,outlook.live.com / referral,US,desktop,12,12,51,0,0
New Visitor,outrasterras.com.br / referral,BR,desktop,12,12,30,0,0
New Visitor,portaljovenclm.com / referral,ES,desktop,12,12,20,0,0
New Visitor,search.free.fr / referral,FR,desktop,12,12,35,0,0
New Visitor,solferias.pt / referral,PT,desktop,12,12,61,0,0
New Visitor,suche.freenet.de / referral,DE,desktop,12,12,38,0,0
New Visitor,sunmar.ru / referral,RU,desktop,12,12,26,0,0
New Visitor,susanasteil.com.br / referral,BR,desktop,12,12,40,0,0
New Visitor,tripadvisor / cpc,IE,mobile,12,12,50,0,0
New Visitor,tripadvisor / cpc,NL,mobile,12,12,26,0,0
New Visitor,TripAdvisor / referral,DK,tablet,12,12,18,0,0
New Visitor,TripAdvisor / referral,GR,desktop,12,12,34,0,0
New Visitor,TripAdvisor / referral,NO,mobile,12,12,16,0,0
New Visitor,TripAdvisor / referral,TN,desktop,12,12,19,0,0
New Visitor,tripadvisor.com.mx / referral,MX,desktop,12,12,40,0,0
New Visitor,tripcentral.ca / referral,CA,desktop,12,12,23,0,0
New Visitor,trivago.de / referral,AT,desktop,12,12,18,0,0
New Visitor,trivago.de / referral,ES,tablet,12,12,18,1,46.8
New Visitor,vacantacool.ro / referral,RO,mobile,12,13,32,0,0
New Visitor,viajeaqui.abril.com.br / referral,BR,tablet,12,12,59,0,0
New Visitor,webcams-lanzarote.com / referral,GB,mobile,12,12,26,0,0
Returning Visitor,(direct) / (none),PR,tablet,12,37,312,0,0
Returning Visitor,(direct) / (none),RS,mobile,12,26,89,0,0
Returning Visitor,bing / organic,CZ,desktop,12,19,61,0,0
Returning Visitor,clubgolfnovosanctipetri.com / referral,ES,desktop,12,17,46,0,0
Returning Visitor,dfa / cpc,DO,tablet,12,27,60,0,0
Returning Visitor,dfa / cpc,HU,tablet,12,32,53,0,0
Returning Visitor,dfa / cpc,LU,desktop,12,21,50,1,4172.4
Returning Visitor,dfa / cpm,AR,mobile,12,22,94,0,0
Returning Visitor,dfa / cpm,CZ,desktop,12,23,103,1,1330.56
Returning Visitor,dfa / cpm,IT,tablet,12,45,61,0,0
Returning Visitor,dormirapiedeplaya.com / referral,ES,tablet,12,18,29,0,0
Returning Visitor,dresseldivers.com / referral,FR,desktop,12,12,34,0,0
Returning Visitor,email / email,FI,desktop,12,16,78,0,0
Returning Visitor,fonnflog.fo / referral,FO,desktop,12,33,104,0,0
Returning Visitor,google / (not set),FR,desktop,12,13,59,0,0
Returning Visitor,google / organic,CV,desktop,12,20,108,0,0
Returning Visitor,google / organic,GR,mobile,12,16,45,0,0
Returning Visitor,google / organic,LT,mobile,12,19,211,0,0
Returning Visitor,google / organic,SA,desktop,12,20,67,0,0
Returning Visitor,grandhotelmirador.com / referral,BE,desktop,12,18,31,1,3460.6
Returning Visitor,grandhotelmirador.com / referral,GB,tablet,12,22,75,0,0
Returning Visitor,iberostarplayagaviotaspark.com / referral,ES,mobile,12,17,29,0,0
Returning Visitor,icrs.visitus-inc.com / referral,AR,desktop,12,26,128,0,0
Returning Visitor,icrs.visitus-inc.com / referral,US,mobile,12,17,65,0,0
Returning Visitor,inside.iberostar / (not set),BE,desktop,12,12,65,0,0
Returning Visitor,inside.iberostar / (not set),DE,mobile,12,13,51,0,0
Returning Visitor,livio.com / referral,US,desktop,12,17,78,0,0
Returning Visitor,mallorca-beaches.com / referral,DK,tablet,12,14,27,0,0
Returning Visitor,mein-triathlonhotel.de / referral,DE,desktop,12,12,34,0,0
